hangul,consonant,unicode,hanja
가,ㄱ,04f3d,伽
가,ㄱ,04f73,佳
가,ㄱ,05047,假
가,ㄱ,050f9,價
가,ㄱ,052a0,加
가,ㄱ,053ef,可
가,ㄱ,05475,呵
가,ㄱ,054e5,哥
가,ㄱ,054ff,哿
가,ㄱ,05609,嘉
"가,하",,0560f,嘏
가,ㄱ,05777,坷
가,ㄱ,05a7d,婽
가,ㄱ,05ac1,嫁
가,ㄱ,05bb6,家
가,ㄱ,05ca2,岢
가,ㄱ,05fa6,徦
가,ㄱ,0659d,斝
가,ㄱ,06687,暇
가,ㄱ,067b6,架
가,ㄱ,067b7,枷
가,ㄱ,067ef,柯
가,ㄱ,06935,椵
가,ㄱ,0698e,榎
가,ㄱ,06a9f,檟
가,ㄱ,06b4c,歌
가,ㄱ,06cc7,泇
가,ㄱ,06e2e,渮
가,ㄱ,07241,牁
가,ㄱ,073c2,珂
가,ㄱ,073c8,珈
가,ㄱ,075c2,痂
가,ㄱ,07a3c,稼
가,ㄱ,07b33,笳
가,ㄱ,0801e,耞
가,ㄱ,08238,舸
가,ㄱ,082db,苛
가,ㄱ,08304,茄
"가,하",,083cf,菏
가,ㄱ,0846d,葭
가,ㄱ,08857,街
가,ㄱ,08888,袈
가,ㄱ,08a36,訶
가,ㄱ,08b0c,謌
"가,고",,08cc8,賈
가,ㄱ,08dcf,跏
가,ㄱ,08efb,軻
가,ㄱ,08fe6,迦
가,ㄱ,099d5,駕
가,ㄱ,a0111,򠄑
가,ㄱ,a0112,򠄒
각,ㄱ,05095,傕
각,ㄱ,0523b,刻
각,ㄱ,05374,却
각,ㄱ,0537b,卻
각,ㄱ,05404,各
각,ㄱ,054af,咯
각,ㄱ,057c6,埆
각,ㄱ,0606a,恪
각,ㄱ,06128,愨
각,ㄱ,06164,慤
각,ㄱ,06409,搉
각,ㄱ,064f1,擱
각,ㄱ,06877,桷
각,ㄱ,06bbc,殼
각,ㄱ,073cf,珏
각,ㄱ,0811a,脚
각,ㄱ,089ba,覺
각,ㄱ,089d2,角
각,ㄱ,095a3,閣
"각,학",,096ba,隺
간,ㄱ,04f83,侃
간,ㄱ,05058,偘
간,ㄱ,0520a,刊
간,ㄱ,058be,墾
간,ㄱ,05978,奸
간,ㄱ,059e6,姦
간,ㄱ,05e72,干
간,ㄱ,05e79,幹
"간,한",,05fd3,忓
간,ㄱ,06173,慳
간,ㄱ,061c7,懇
간,ㄱ,063c0,揀
간,ㄱ,06746,杆
간,ㄱ,067ec,柬
간,ㄱ,0681e,栞
간,ㄱ,0687f,桿
간,ㄱ,069a6,榦
간,ㄱ,06d86,涆
간,ㄱ,06f97,澗
간,ㄱ,07395,玕
간,ㄱ,07647,癇
간,ㄱ,0764e,癎
간,ㄱ,0770b,看
"간,안",,077f8,矸
간,ㄱ,078f5,磵
간,ㄱ,079c6,秆
간,ㄱ,07a08,稈
간,ㄱ,07aff,竿
간,ㄱ,07c21,簡
간,ㄱ,0809d,肝
간,ㄱ,0826e,艮
간,ㄱ,08271,艱
간,ㄱ,0831b,茛
간,ㄱ,0884e,衎
간,ㄱ,08aeb,諫
간,ㄱ,08d76,赶
간,ㄱ,08fc0,迀
간,ㄱ,09593,間
간,ㄱ,09f66,齦
갈,ㄱ,04e6b,乫
갈,ㄱ,0559d,喝
갈,ㄱ,05676,噶
갈,ㄱ,05db1,嶱
갈,ㄱ,066f7,曷
갈,ㄱ,0696c,楬
갈,ㄱ,06e34,渴
"갈,할",,07848,硈
갈,ㄱ,078a3,碣
갈,ㄱ,079f8,秸
갈,ㄱ,07aed,竭
갈,ㄱ,07faf,羯
갈,ㄱ,0845b,葛
갈,ㄱ,0874e,蝎
갈,ㄱ,0880d,蠍
갈,ㄱ,08910,褐
갈,ㄱ,097a8,鞨
갈,ㄱ,a0113,򠄓
감,ㄱ,052d8,勘
감,ㄱ,0574e,坎
감,ㄱ,05769,坩
감,ㄱ,057f3,埳
감,ㄱ,0582a,堪
감,ㄱ,05d41,嵁
감,ㄱ,05d4c,嵌
감,ㄱ,05f07,弇
감,ㄱ,0611f,感
감,ㄱ,061a8,憨
감,ㄱ,061be,憾
감,ㄱ,06221,戡
감,ㄱ,064bc,撼
감,ㄱ,06562,敢
감,ㄱ,067d1,柑
감,ㄱ,06a44,橄
감,ㄱ,06b3f,欿
감,ㄱ,06b5b,歛
감,ㄱ,06cd4,泔
감,ㄱ,06de6,淦
감,ㄱ,06e1b,減
감,ㄱ,06f89,澉
"감,림,임",,073aa,玪
"감,함",,0744a,瑊
감,ㄱ,07518,甘
감,ㄱ,075b3,疳
감,ㄱ,076e3,監
감,ㄱ,077b0,瞰
감,ㄱ,077d9,矙
감,ㄱ,07d3a,紺
감,ㄱ,08f57,轗
"감,한",,090af,邯
감,ㄱ,09163,酣
감,ㄱ,09451,鑑
감,ㄱ,09452,鑒
감,ㄱ,09e7b,鹻
감,ㄱ,09f95,龕
갑,ㄱ,05323,匣
갑,ㄱ,05cac,岬
갑,ㄱ,07532,甲
갑,ㄱ,080db,胛
갑,ㄱ,09240,鉀
갑,ㄱ,09598,閘
강,ㄱ,03f58,㽘
"강,홍",,0472b,䜫
강,ㄱ,0508b,傋
강,ㄱ,050f5,僵
강,ㄱ,0525b,剛
강,ㄱ,05808,堈
강,ㄱ,058c3,壃
강,ㄱ,059dc,姜
강,ㄱ,05add,嫝
강,ㄱ,05ca1,岡
강,ㄱ,05d17,崗
강,ㄱ,05eb7,康
강,ㄱ,05f37,強
강,ㄱ,05f3a,强
강,ㄱ,05f4a,彊
강,ㄱ,05ffc,忼
강,ㄱ,060be,悾
강,ㄱ,06177,慷
강,ㄱ,0625b,扛
강,ㄱ,06386,掆
강,ㄱ,06760,杠
강,ㄱ,068e1,棡
강,ㄱ,06a7f,橿
강,ㄱ,06bad,殭
강,ㄱ,06c5f,江
강,ㄱ,06f2e,漮
강,ㄱ,07135,焵
강,ㄱ,07392,玒
강,ㄱ,0757a,畺
강,ㄱ,07586,疆
강,ㄱ,077fc,矼
강,ㄱ,07a45,穅
강,ㄱ,07ce0,糠
강,ㄱ,07d73,絳
강,ㄱ,07db1,綱
강,ㄱ,07e48,繈
강,ㄱ,07f61,罡
강,ㄱ,07f8c,羌
강,ㄱ,07fab,羫
강,ㄱ,08154,腔
강,ㄱ,08221,舡
강,ㄱ,08333,茳
강,ㄱ,08591,薑
강,ㄱ,08941,襁
강,ㄱ,08b1b,講
강,ㄱ,08c47,豇
강,ㄱ,08ded,跭
강,ㄱ,092fc,鋼
강,ㄱ,093a0,鎠
강,ㄱ,093f9,鏹
"강,항",,0964d,降
강,ㄱ,097c1,韁
강,ㄱ,0985c,顜
강,ㄱ,09c47,鱇
강,ㄱ,a0090,򠂐
강,ㄱ,a0114,򠄔
강,ㄱ,a0251,򠉑
개,ㄱ,04057,䁗
개,ㄱ,04ecb,介
개,ㄱ,04ef7,价
개,ㄱ,0500b,個
개,ㄱ,051f1,凱
개,ㄱ,05274,剴
개,ㄱ,052d3,勓
개,ㄱ,05303,匃
개,ㄱ,0584f,塏
개,ㄱ,05fcb,忋
개,ㄱ,06137,愷
개,ㄱ,0613e,愾
개,ㄱ,06168,慨
개,ㄱ,063e9,揩
개,ㄱ,06461,摡
개,ㄱ,06539,改
개,ㄱ,0669f,暟
개,ㄱ,069e9,槩
개,ㄱ,069ea,槪
"개,해",,06e5d,湝
개,ㄱ,06f11,漑
개,ㄱ,073a0,玠
개,ㄱ,075a5,疥
개,ㄱ,07686,皆
개,ㄱ,076d6,盖
개,ㄱ,078d5,磕
개,ㄱ,07b87,箇
개,ㄱ,082a5,芥
개,ㄱ,084cb,蓋
"개,해",,08878,衸
"개,기",,08c48,豈
개,ㄱ,093a7,鎧
개,ㄱ,0958b,開
개,ㄱ,095d3,闓
개,ㄱ,a0115,򠄕
개,ㄱ,a0116,򠄖
객,ㄱ,05580,喀
객,ㄱ,05ba2,客
갱,ㄱ,05751,坑
"갱,경",,066f4,更
갱,ㄱ,0785c,硜
갱,ㄱ,07cb3,粳
갱,ㄱ,07fb9,羹
갱,ㄱ,08ce1,賡
갱,ㄱ,093d7,鏗
갹,ㄱ,091b5,醵
"거,구",,04f49,佉
거,ㄱ,05028,倨
거,ㄱ,053bb,去
거,ㄱ,0547f,呿
거,ㄱ,059d6,姖
거,ㄱ,05c45,居
거,ㄱ,05ca0,岠
거,ㄱ,05de8,巨
"거,겁",,062be,抾
거,ㄱ,062d2,拒
거,ㄱ,0636e,据
거,ㄱ,064da,據
거,ㄱ,064e7,擧
거,ㄱ,0661b,昛
거,ㄱ,067dc,柜
거,ㄱ,06b05,欅
거,ㄱ,06b6b,歫
거,ㄱ,06e20,渠
거,ㄱ,070ac,炬
거,ㄱ,0795b,祛
거,ㄱ,079ec,秬
거,ㄱ,07b65,筥
거,ㄱ,07c67,籧
거,ㄱ,080e0,胠
거,ㄱ,08152,腒
거,ㄱ,082e3,苣
거,ㄱ,08392,莒
거,ㄱ,08556,蕖
거,ㄱ,08627,蘧
거,ㄱ,088aa,袪
거,ㄱ,088fe,裾
거,ㄱ,08ddd,距
거,ㄱ,08e1e,踞
"거,차",,08eca,車
거,ㄱ,0907d,遽
거,ㄱ,09245,鉅
거,ㄱ,092f8,鋸
거,ㄱ,099cf,駏
거,ㄱ,a0215,򠈕
건,ㄱ,03a1c,㨜
"건,율",,04896,䢖
건,ㄱ,04e79,乹
건,ㄱ,04e7e,乾
건,ㄱ,04ef6,件
건,ㄱ,05065,健
건,ㄱ,056dd,囝
건,ㄱ,05dfe,巾
건,ㄱ,05efa,建
건,ㄱ,06106,愆
건,ㄱ,063f5,揵
건,ㄱ,06434,搴
건,ㄱ,06513,攓
건,ㄱ,06957,楗
건,ㄱ,06e55,湕
건,ㄱ,06f27,漧
건,ㄱ,0728d,犍
건,ㄱ,07777,睷
건,ㄱ,08171,腱
건,ㄱ,08654,虔
건,ㄱ,08930,褰
건,ㄱ,08b07,謇
건,ㄱ,08e3a,踺
건,ㄱ,08e47,蹇
건,ㄱ,09375,鍵
건,ㄱ,097ac,鞬
건,ㄱ,09a2b,騫
건,ㄱ,09db1,鶱
걸,ㄱ,04e5e,乞
걸,ㄱ,04e6c,乬
걸,ㄱ,05091,傑
걸,ㄱ,05d65,嵥
걸,ㄱ,06705,朅
걸,ㄱ,06770,杰
걸,ㄱ,06840,桀
걸,ㄱ,069a4,榤
검,ㄱ,05109,儉
검,ㄱ,0528d,劍
검,ㄱ,05292,劒
검,ㄱ,064bf,撿
검,ㄱ,06aa2,檢
검,ㄱ,077bc,瞼
검,ㄱ,082a1,芡
검,ㄱ,09210,鈐
검,ㄱ,09ed4,黔
검,ㄱ,a0292,򠊒
겁,ㄱ,05226,刦
겁,ㄱ,05227,刧
겁,ㄱ,052ab,劫
겁,ㄱ,0602f,怯
"거,겁",,062be,抾
겁,ㄱ,08ff2,迲
게,ㄱ,05048,偈
게,ㄱ,061a9,憩
게,ㄱ,063ed,揭
격,ㄱ,0630c,挌
격,ㄱ,06439,搹
격,ㄱ,064ca,擊
격,ㄱ,0683c,格
격,ㄱ,06a84,檄
격,ㄱ,06bc4,毄
격,ㄱ,06fc0,激
격,ㄱ,08188,膈
격,ㄱ,089a1,覡
격,ㄱ,095c3,闃
격,ㄱ,09694,隔
격,ㄱ,09abc,骼
격,ㄱ,09b32,鬲
격,ㄱ,09d03,鴃
견,ㄱ,05805,堅
견,ㄱ,06394,掔
견,ㄱ,06c67,汧
견,ㄱ,06d80,涀
견,ㄱ,0727d,牽
견,ㄱ,072ac,犬
견,ㄱ,072f7,狷
견,ㄱ,07504,甄
견,ㄱ,0754e,畎
견,ㄱ,07b67,筧
견,ㄱ,07d79,絹
견,ㄱ,07e33,縳
견,ㄱ,07e6d,繭
견,ㄱ,07e7e,繾
견,ㄱ,07f82,羂
견,ㄱ,080a9,肩
견,ㄱ,08832,蠲
"견,현",,0898b,見
견,ㄱ,08a43,詃
견,ㄱ,08b74,譴
견,ㄱ,09063,遣
견,ㄱ,09104,鄄
견,ㄱ,09c39,鰹
견,ㄱ,09d51,鵑
견,ㄱ,a0117,򠄗
결,ㄱ,034d7,㓗
결,ㄱ,036c3,㛃
결,ㄱ,0493f,䤿
결,ㄱ,06289,抉
결,ㄱ,06c7a,決
결,ㄱ,06d2f,洯
결,ㄱ,06f54,潔
결,ㄱ,07094,炔
결,ㄱ,07106,焆
결,ㄱ,073a6,玦
결,ㄱ,07d50,結
결,ㄱ,07f3a,缺
결,ㄱ,089d6,觖
결,ㄱ,08a23,訣
결,ㄱ,08ffc,迼
결,ㄱ,09365,鍥
결,ㄱ,095cb,闋
겸,ㄱ,05094,傔
겸,ㄱ,0517c,兼
겸,ㄱ,055db,嗛
겸,ㄱ,05c92,岒
겸,ㄱ,05d70,嵰
겸,ㄱ,0614a,慊
겸,ㄱ,062d1,拑
"겸,염",,069cf,槏
겸,ㄱ,06b49,歉
겸,ㄱ,07b9d,箝
겸,ㄱ,07e11,縑
겸,ㄱ,084b9,蒹
겸,ㄱ,08b19,謙
겸,ㄱ,09257,鉗
겸,ㄱ,0938c,鎌
겸,ㄱ,09eda,黚
겸,ㄱ,09f38,鼸
겸,ㄱ,a028e,򠊎
경,ㄱ,034cf,㓏
경,ㄱ,03bf3,㯳
경,ㄱ,03de1,㷡
경,ㄱ,04eac,京
경,ㄱ,04eb0,亰
경,ㄱ,04fd3,俓
경,ㄱ,0501e,倞
경,ㄱ,050b9,傹
경,ㄱ,050be,傾
경,ㄱ,05106,儆
경,ㄱ,05182,冂
경,ㄱ,0518f,冏
경,ㄱ,05244,剄
경,ㄱ,05260,剠
경,ㄱ,052c1,勁
경,ㄱ,052cd,勍
경,ㄱ,0537f,卿
경,ㄱ,054fd,哽
경,ㄱ,056e7,囧
경,ㄱ,05770,坰
경,ㄱ,057c2,埂
경,ㄱ,05883,境
경,ㄱ,05de0,巠
경,ㄱ,05e5c,幜
경,ㄱ,05e9a,庚
경,ㄱ,05f91,徑
경,ㄱ,060f8,惸
경,ㄱ,06176,慶
경,ㄱ,061ac,憬
경,ㄱ,061bc,憼
경,ㄱ,06243,扃
경,ㄱ,0632d,挭
경,ㄱ,064ce,擎
경,ㄱ,064cf,擏
경,ㄱ,0656c,敬
경,ㄱ,0666f,景
경,ㄱ,066bb,暻
경,ㄱ,066d4,曔
"갱,경",,066f4,更
경,ㄱ,06871,桱
경,ㄱ,06897,梗
경,ㄱ,06aa0,檠
경,ㄱ,06abe,檾
경,ㄱ,06d6d,浭
경,ㄱ,06d87,涇
경,ㄱ,06ef0,滰
경,ㄱ,06f00,漀
경,ㄱ,07085,炅
경,ㄱ,070f1,烱
경,ㄱ,070f4,烴
경,ㄱ,0712d,焭
경,ㄱ,07162,煢
경,ㄱ,071b2,熲
경,ㄱ,071db,燛
경,ㄱ,07484,璄
경,ㄱ,0749a,璚
경,ㄱ,0749f,璟
경,ㄱ,074a5,璥
경,ㄱ,074ca,瓊
경,ㄱ,0754a,畊
경,ㄱ,075d9,痙
경,ㄱ,0786c,硬
경,ㄱ,0787b,硻
경,ㄱ,078ec,磬
경,ㄱ,07adf,竟
경,ㄱ,07af6,競
경,ㄱ,07af8,竸
경,ㄱ,07d45,絅
경,ㄱ,07d86,綆
경,ㄱ,07d93,經
경,ㄱ,07f44,罄
경,ㄱ,08015,耕
경,ㄱ,0803f,耿
경,ㄱ,0811b,脛
경,ㄱ,082d8,苘
경,ㄱ,08396,莖
경,ㄱ,085d1,藑
경,ㄱ,08927,褧
경,ㄱ,08a99,誙
경,ㄱ,08b26,謦
경,ㄱ,08b66,警
경,ㄱ,08f15,輕
경,ㄱ,09015,逕
경,ㄱ,090e0,郠
경,ㄱ,093e1,鏡
경,ㄱ,09795,鞕
경,ㄱ,09803,頃
경,ㄱ,09838,頸
경,ㄱ,09848,顈
경,ㄱ,099c9,駉
경,ㄱ,09a5a,驚
경,ㄱ,09bc1,鯁
경,ㄱ,09be8,鯨
경,ㄱ,09d5b,鵛
경,ㄱ,09d8a,鶊
경,ㄱ,09e96,麖
경,ㄱ,09ee5,黥
경,ㄱ,205ca,𠗊
경,ㄱ,a006a,򠁪
경,ㄱ,a0118,򠄘
경,ㄱ,a0119,򠄙
경,ㄱ,a011a,򠄚
경,ㄱ,a011b,򠄛
경,ㄱ,a011c,򠄜
경,ㄱ,a011d,򠄝
경,ㄱ,a011e,򠄞
경,ㄱ,a0212,򠈒
경,ㄱ,a0258,򠉘
경,ㄱ,a0269,򠉩
경,ㄱ,a0294,򠊔
계,ㄱ,04fc2,係
계,ㄱ,05447,呇
계,ㄱ,05553,啓
계,ㄱ,05826,堦
계,ㄱ,0583a,堺
"계,글,설",,05951,契
계,ㄱ,05b63,季
계,ㄱ,05c46,屆
계,ㄱ,05d60,嵠
계,ㄱ,060b8,悸
계,ㄱ,06212,戒
"계,설",,06308,挈
계,ㄱ,0660b,昋
계,ㄱ,06842,桂
계,ㄱ,068b0,械
계,ㄱ,068e8,棨
계,ㄱ,06d0e,洎
"계,연",,06e8e,溎
계,ㄱ,06eaa,溪
계,ㄱ,07031,瀱
계,ㄱ,070d3,烓
계,ㄱ,0754c,界
계,ㄱ,07608,瘈
계,ㄱ,07678,癸
계,ㄱ,078ce,磎
계,ㄱ,0798a,禊
계,ㄱ,07cfb,系
계,ㄱ,07dae,綮
계,ㄱ,07e18,縘
계,ㄱ,07e6b,繫
계,ㄱ,07e7c,繼
계,ㄱ,07f7d,罽
계,ㄱ,0858a,薊
계,ㄱ,08a08,計
계,ㄱ,08aa1,誡
계,ㄱ,08c3f,谿
계,ㄱ,0968e,階
계,ㄱ,096de,雞
계,ㄱ,09afb,髻
계,ㄱ,09dc4,鷄
,,25874,𥡴
고,ㄱ,04f30,估
고,ㄱ,051c5,凅
고,ㄱ,05233,刳
고,ㄱ,053e4,古
고,ㄱ,053e9,叩
고,ㄱ,0544a,告
고,ㄱ,05471,呱
고,ㄱ,056fa,固
"고,호",,05930,夰
고,ㄱ,059d1,姑
고,ㄱ,05a5f,婟
고,ㄱ,05b64,孤
고,ㄱ,05c3b,尻
고,ㄱ,05d13,崓
고,ㄱ,05eab,庫
고,ㄱ,062f7,拷
고,ㄱ,06537,攷
고,ㄱ,06545,故
고,ㄱ,06572,敲
고,ㄱ,066a0,暠
"고,호",,06772,杲
고,ㄱ,067af,枯
고,ㄱ,06832,栲
고,ㄱ,069c0,槀
고,ㄱ,069c1,槁
고,ㄱ,06a6d,橭
고,ㄱ,06adc,櫜
고,ㄱ,06cbd,沽
고,ㄱ,0726f,牯
고,ㄱ,075fc,痼
고,ㄱ,0768b,皋
고,ㄱ,07690,皐
고,ㄱ,076ec,盬
고,ㄱ,077bd,瞽
고,ㄱ,07a01,稁
고,ㄱ,07a3f,稿
고,ㄱ,07b8d,箍
고,ㄱ,07bd9,篙
고,ㄱ,07cd5,糕
고,ㄱ,07f5f,罟
고,ㄱ,07f94,羔
고,ㄱ,07f96,羖
고,ㄱ,07ffa,翺
고,ㄱ,08003,考
고,ㄱ,080a1,股
고,ㄱ,080ef,胯
고,ㄱ,0818f,膏
고,ㄱ,082e6,苦
고,ㄱ,082fd,苽
고,ㄱ,083f0,菰
고,ㄱ,085c1,藁
고,ㄱ,08831,蠱
고,ㄱ,088b4,袴
고,ㄱ,089da,觚
고,ㄱ,08a41,詁
고,ㄱ,08aa5,誥
"가,고",,08cc8,賈
고,ㄱ,08f9c,辜
고,ㄱ,090dc,郜
고,ㄱ,09164,酤
고,ㄱ,09237,鈷
고,ㄱ,0932e,錮
고,ㄱ,096c7,雇
고,ㄱ,09760,靠
고,ㄱ,09867,顧
고,ㄱ,09ad8,高
고,ㄱ,09d23,鴣
고,ㄱ,09df1,鷱
고,ㄱ,09f13,鼓
고,ㄱ,09f14,鼔
고,ㄱ,a0072,򠁲
고,ㄱ,a011f,򠄟
고,ㄱ,a0120,򠄠
고,ㄱ,a0121,򠄡
고,ㄱ,a0122,򠄢
곡,ㄱ,054ed,哭
곡,ㄱ,056b3,嚳
"곡,호",,05cfc,峼
곡,ㄱ,0659b,斛
곡,ㄱ,066f2,曲
곡,ㄱ,0688f,梏
곡,ㄱ,069f2,槲
곡,ㄱ,07a40,穀
곡,ㄱ,07e20,縠
곡,ㄱ,089f3,觳
곡,ㄱ,08c37,谷
곡,ㄱ,08f42,轂
곡,ㄱ,09d60,鵠
곤,ㄱ,04e28,丨
곤,ㄱ,056f0,困
곤,ㄱ,05764,坤
곤,ㄱ,05803,堃
곤,ㄱ,05d10,崐
곤,ㄱ,05d11,崑
곤,ㄱ,06083,悃
곤,ㄱ,06346,捆
곤,ㄱ,06606,昆
곤,ㄱ,068b1,梱
곤,ㄱ,068cd,棍
곤,ㄱ,06efe,滾
곤,ㄱ,07428,琨
곤,ㄱ,074ad,璭
곤,ㄱ,07dc4,緄
곤,ㄱ,0886e,衮
곤,ㄱ,0889e,袞
곤,ㄱ,088cd,裍
곤,ㄱ,0890c,褌
곤,ㄱ,09315,錕
곤,ㄱ,095ab,閫
곤,ㄱ,09ae1,髡
곤,ㄱ,09be4,鯤
곤,ㄱ,09d7e,鵾
곤,ㄱ,09da4,鶤
곤,ㄱ,09f6b,齫
골,ㄱ,06430,搰
골,ㄱ,069be,榾
골,ㄱ,06c68,汨
"골,율",,06c69,汩
"골,활",,06ed1,滑
골,ㄱ,09aa8,骨
골,ㄱ,09dbb,鶻
공,ㄱ,04f9b,供
공,ㄱ,05025,倥
공,ㄱ,0516c,公
공,ㄱ,05171,共
공,ㄱ,0529f,功
공,ㄱ,05b54,孔
공,ㄱ,05d06,崆
공,ㄱ,05de5,工
공,ㄱ,05efe,廾
공,ㄱ,06050,恐
공,ㄱ,0606d,恭
공,ㄱ,062f1,拱
공,ㄱ,063a7,控
공,ㄱ,0653b,攻
공,ㄱ,06831,栱
공,ㄱ,069d3,槓
공,ㄱ,07068,灨
"공,홍",,073d9,珙
공,ㄱ,07a7a,空
공,ㄱ,07b9c,箜
공,ㄱ,07fbe,羾
공,ㄱ,086a3,蚣
공,ㄱ,086e9,蛩
공,ㄱ,086ec,蛬
공,ㄱ,08ca2,貢
공,ㄱ,08d1b,贛
공,ㄱ,08deb,跫
공,ㄱ,091ed,釭
공,ㄱ,0978f,鞏
공,ㄱ,09f94,龔
"곶,관",,04e32,串
과,ㄱ,04f89,侉
과,ㄱ,0581d,堝
과,ㄱ,05925,夥
과,ㄱ,05938,夸
과,ㄱ,059f1,姱
과,ㄱ,05be1,寡
과,ㄱ,06208,戈
과,ㄱ,064be,撾
과,ㄱ,06564,敤
과,ㄱ,0679c,果
과,ㄱ,07313,猓
과,ㄱ,074dc,瓜
과,ㄱ,079d1,科
과,ㄱ,07a1e,稞
과,ㄱ,07aa0,窠
과,ㄱ,083d3,菓
과,ㄱ,0874c,蝌
과,ㄱ,088f9,裹
과,ㄱ,08a87,誇
과,ㄱ,08ab2,課
과,ㄱ,08de8,跨
과,ㄱ,08e1d,踝
과,ㄱ,0904e,過
과,ㄱ,09299,銙
과,ㄱ,0934b,鍋
과,ㄱ,09846,顆
과,ㄱ,09a0d,騍
과,ㄱ,a0123,򠄣
"곽,확",,05ed3,廓
곽,ㄱ,06901,椁
곽,ㄱ,069e8,槨
곽,ㄱ,07668,癨
곽,ㄱ,085ff,藿
곽,ㄱ,090ed,郭
곽,ㄱ,09481,钁
곽,ㄱ,0970d,霍
곽,ㄱ,097b9,鞹
곽,ㄱ,a0124,򠄤
관,ㄱ,04e31,丱
"곶,관",,04e32,串
관,ㄱ,0500c,倌
관,ㄱ,051a0,冠
관,ㄱ,05b98,官
관,ㄱ,05bdb,寛
관,ㄱ,05bec,寬
관,ㄱ,06163,慣
"관,완",,068a1,梡
관,ㄱ,068fa,棺
관,ㄱ,06b3e,款
관,ㄱ,06dab,涫
관,ㄱ,0704c,灌
관,ㄱ,0721f,爟
관,ㄱ,0742f,琯
관,ㄱ,074d8,瓘
관,ㄱ,076e5,盥
관,ㄱ,0797c,祼
관,ㄱ,07abe,窾
관,ㄱ,07b66,筦
관,ㄱ,07ba1,管
관,ㄱ,07db0,綰
관,ㄱ,07f50,罐
관,ㄱ,08218,舘
관,ㄱ,083c5,菅
관,ㄱ,089c0,觀
관,ㄱ,08cab,貫
관,ㄱ,08f28,輨
관,ㄱ,09327,錧
관,ㄱ,09475,鑵
관,ㄱ,095dc,關
관,ㄱ,096da,雚
관,ㄱ,09874,顴
관,ㄱ,09928,館
관,ㄱ,09ad6,髖
관,ㄱ,09c79,鱹
관,ㄱ,09e1b,鸛
관,ㄱ,a0001,򠀁
관,ㄱ,a0125,򠄥
관,ㄱ,a0126,򠄦
관,ㄱ,a0127,򠄧
관,ㄱ,a0128,򠄨
관,ㄱ,a0129,򠄩
관,ㄱ,a026a,򠉪
괄,ㄱ,04f78,佸
괄,ㄱ,0522e,刮
괄,ㄱ,0605d,恝
괄,ㄱ,062ec,括
괄,ㄱ,0681d,栝
괄,ㄱ,07b48,筈
괄,ㄱ,08052,聒
괄,ㄱ,09002,适
괄,ㄱ,09afa,髺
괄,ㄱ,09d30,鴰
광,ㄱ,04f8a,侊
광,ㄱ,050d9,僙
광,ㄱ,05149,光
광,ㄱ,05321,匡
광,ㄱ,05799,垙
광,ㄱ,058d9,壙
광,ㄱ,059ef,姯
광,ㄱ,05e83,広
광,ㄱ,05ee3,廣
광,ㄱ,06047,恇
광,ㄱ,061ec,懬
광,ㄱ,06497,撗
광,ㄱ,066e0,曠
광,ㄱ,06844,桄
광,ㄱ,06846,框
광,ㄱ,06d2d,洭
광,ㄱ,06d38,洸
광,ㄱ,0709a,炚
광,ㄱ,0709b,炛
광,ㄱ,0720c,爌
광,ㄱ,072c2,狂
광,ㄱ,07377,獷
광,ㄱ,073d6,珖
광,ㄱ,07844,硄
광,ㄱ,078fa,磺
광,ㄱ,07926,礦
광,ㄱ,07b50,筐
광,ㄱ,07d56,絖
광,ㄱ,07e8a,纊
광,ㄱ,080f1,胱
광,ㄱ,0832a,茪
광,ㄱ,08a86,誆
광,ㄱ,08a91,誑
광,ㄱ,092a7,銧
광,ㄱ,0945b,鑛
괘,ㄱ,05366,卦
괘,ㄱ,054bc,咼
괘,ㄱ,06302,挂
괘,ㄱ,0639b,掛
괘,ㄱ,07d53,絓
괘,ㄱ,07f63,罣
괘,ㄱ,07f6b,罫
괘,ㄱ,08a7f,詿
괴,ㄱ,04e56,乖
괴,ㄱ,05080,傀
괴,ㄱ,0584a,塊
괴,ㄱ,058de,壞
괴,ㄱ,05abf,媿
괴,ㄱ,05ee5,廥
괴,ㄱ,0602a,怪
괴,ㄱ,06127,愧
괴,ㄱ,062d0,拐
괴,ㄱ,069d0,槐
괴,ㄱ,07470,瑰
괴,ㄱ,0749d,璝
괴,ㄱ,084af,蒯
괴,ㄱ,08958,襘
괴,ㄱ,09b41,魁
괵,ㄱ,09998,馘
굉,ㄱ,054a3,咣
굉,ㄱ,05b8f,宏
굉,ㄱ,06d64,浤
굉,ㄱ,07d18,紘
굉,ㄱ,080b1,肱
굉,ㄱ,089e5,觥
굉,ㄱ,08a07,訇
굉,ㄱ,08f5f,轟
"굉,황",,09360,鍠
굉,ㄱ,0958e,閎
교,ㄱ,04ea4,交
교,ㄱ,04f7c,佼
교,ㄱ,050d1,僑
교,ㄱ,054ac,咬
교,ㄱ,055ac,喬
교,ㄱ,05604,嘄
교,ㄱ,05610,嘐
교,ㄱ,0566d,噭
교,ㄱ,05699,嚙
교,ㄱ,059e3,姣
교,ㄱ,05b0c,嬌
교,ㄱ,05b13,嬓
교,ㄱ,05d7a,嵺
교,ㄱ,05da0,嶠
교,ㄱ,05de7,巧
"교,효",,06054,恔
교,ㄱ,0618d,憍
교,ㄱ,0649f,撟
교,ㄱ,0652a,攪
