hangul,consonant,unicode,hanja,meaning,id
간,ㄱ,5978,奸,간사할 간,75e7f81542804b74858dd6fb9172ab19
간,ㄱ,8aeb,諫,간할 간,cff69599ae1c459f930960b3d4c46c14
간,ㄱ,58be,墾,개간할 간,f6a437adcdeb471d9d415770e5187ff6
간,ㄱ,63c0,揀,가릴 간,e21288cf9ed548c1a53aa0f2b5a5cd08
간,ㄱ,7aff,竿,낚싯대 간,8a1021fa91934cd8b41009b3bb152bb3
간,ㄱ,6f97,澗,산골 물 간,04fbfbb59bc942ccae26fda6ebf24c26
간,ㄱ,8d76,赶,쫓을 간,5cf41ea87f944c939b438b84c8a59a51
간,ㄱ,687f,桿,몽둥이 간,03c9cdc80584441cbdf1307a6b7b5f59
간,ㄱ,77f8,矸,깨끗할 간,2a9c0058c42b49f885ae40e097d4dac6
간,ㄱ,6173,慳,아낄 간,5c58f0f0c4d040f8974ac5c6c1c81825
간,ㄱ,6746,杆,몽둥이 간,7b68b7e68fc74ec18dec3edfefc7482c
간,ㄱ,4f83,侃,굳셀 간,36dea6ffbc6347d994b9ea598fe19d77
간,ㄱ,7395,玕,옥돌 간,272f136c4c0f45f19484e007eb96eb47
간,ㄱ,9f66,齦,물 간,0b3bb3e590cc40a3abeabab3bc089059
간,ㄱ,78f5,磵,산골 물 간,1b66965976354aa080345c97331019d1
간,ㄱ,7a08,稈,볏짚 간,0fec2a3301b541bc918feed496674dd5
간,ㄱ,5fd3,忓,방해할 간,10986e7db3234860946de78976608e9d
간,ㄱ,69a6,榦,줄기 간,fd6bcbe34f57471aae62eff840f40f98
간,ㄱ,681e,栞,표할 간/벨 간,706ebe6a237d4e6f93721ef3a23b9a57
간,ㄱ,8fc0,迀,구할 간,e063c233b28d4e7cbbeb8db8e36aa0da
간,ㄱ,7647,癇,간질 간,3325d24a2b2d4eeba284ce4082662188
간,ㄱ,764e,癎,간질 간,21b5cd4339bb4e02b0da8065ff13082c
간,ㄱ,884e,衎,즐길 간,516bae85958c41f09e1e73264408a7c2
간,ㄱ,5058,偘,굳셀 간,3fbfb2c5c92f4f2bbd3150be28e7a247
